train_mae,valid_mae,train_rmse,valid_rmse,n_estimators,max_depth,min_samples,max_features,warm_start
2.448779056560611,2.531170453254134,4.04552559106014,4.3827909201728446,10,5,10,6,True
2.448779056560611,2.531170453254134,4.04552559106014,4.3827909201728446,10,5,10,6,False
2.37098037217403,2.4528853322999224,3.9454030189654197,4.310832865466694,10,5,10,8,True
2.37098037217403,2.4528853322999224,3.9454030189654197,4.310832865466694,10,5,10,8,False
2.3474698336472994,2.4446590471715677,3.8921612207397596,4.298195801253555,10,5,10,10,True
2.3474698336472994,2.4446590471715677,3.8921612207397596,4.298195801253555,10,5,10,10,False
3.3655808239392724,3.4030965288036454,5.320451968044666,5.384963735785371,10,5,20,2,True
3.3655808239392724,3.4030965288036454,5.320451968044666,5.384963735785371,10,5,20,2,False
2.670165175484798,2.7592355073813564,4.245247026868003,4.572756324169461,10,5,20,4,True
2.670165175484798,2.7592355073813564,4.245247026868003,4.572756324169461,10,5,20,4,False
2.447284090407556,2.528759055776607,4.041392744845966,4.364835715706301,10,5,20,6,True
2.447284090407556,2.528759055776607,4.041392744845966,4.364835715706301,10,5,20,6,False
2.3725487188380523,2.4546258846364952,3.9460601051982307,4.3114979437631415,10,5,20,8,True
2.3725487188380523,2.4546258846364952,3.9460601051982307,4.3114979437631415,10,5,20,8,False
2.3476920443220006,2.445047915852294,3.8923721772851967,4.298586216648088,10,5,20,10,True
2.3476920443220006,2.445047915852294,3.8923721772851967,4.298586216648088,10,5,20,10,False
2.0011570579153752,2.259671061530121,3.3602550113314593,3.987168704347072,10,10,2,2,True
2.0011570579153752,2.259671061530121,3.3602550113314593,3.987168704347072,10,10,2,2,False
1.7522375786126156,2.0819990460300564,2.990286248117121,3.8676933969292597,10,10,2,4,True
1.7522375786126156,2.0819990460300564,2.990286248117121,3.8676933969292597,10,10,2,4,False
1.651328003716024,2.000749292839183,2.8345860253174178,3.7738347368686687,10,10,2,6,True
1.651328003716024,2.000749292839183,2.8345860253174178,3.7738347368686687,10,10,2,6,False
1.6190858636007452,2.002507557199408,2.731119233509383,3.811044463550319,10,10,2,8,True
1.6190858636007452,2.002507557199408,2.731119233509383,3.811044463550319,10,10,2,8,False
1.6322647898502054,2.0263270443447485,2.73700781159297,3.8507763179843257,10,10,2,10,True
1.6322647898502054,2.0263270443447485,2.73700781159297,3.8507763179843257,10,10,2,10,False
2.0839861655936724,2.306325312678139,3.471824386059299,4.00731210577241,10,10,5,2,True
2.0839861655936724,2.306325312678139,3.471824386059299,4.00731210577241,10,10,5,2,False
1.7474312575580548,2.0542684226229153,3.0284463982159777,3.827856107835366,10,10,5,4,True
1.7474312575580548,2.0542684226229153,3.0284463982159777,3.827856107835366,10,10,5,4,False
