train_mae,valid_mae,train_rmse,valid_rmse,n_estimators,max_depth,min_samples,max_features
2.0333474919511647,2.0561246155146966,3.364800962864851,3.4154331508141103,100,5,10,4
2.025769877403619,2.0644586743873496,3.351688708431229,3.423256635161893,100,5,10,6
1.4606329771815638,1.6900015684618959,2.48005845964049,2.911157965822332,100,10,2,2
1.3778713030716534,1.6457001948046432,2.3012431722993627,2.882665315493742,100,10,2,4
1.3739787854263354,1.6702991380495686,2.2733081239528343,2.931193439015103,100,10,2,6
1.4625067267780534,1.6801704400716273,2.4919737299047737,2.8996496585116796,100,10,5,2
1.3864198014632823,1.6522460199290463,2.3298455023108096,2.8944679660434236,100,10,5,4
1.3874441769071992,1.6662425001858234,2.309865206455042,2.9261003715406564,100,10,5,6
1.4876110282565025,1.6905331736986655,2.5437933740104097,2.9143609819734477,100,10,10,2
1.4154353552234276,1.6632805111177165,2.3939485352485694,2.920313447495511,100,10,10,4
1.4117276589944272,1.6717940746146758,2.3690602351948122,2.931838344253457,100,10,10,6
0.898294109056456,1.5552127060290768,1.4862544971165563,2.738844875150684,100,15,2,2
0.8536640302243189,1.563147532775488,1.3772139573632118,2.7754871418283416,100,15,2,4
0.8599088124866383,1.5843760549907768,1.3753447690026352,2.8159577793163457,100,15,2,6
0.9817873228903046,1.5681434464412676,1.6713118682594172,2.7609693294391358,100,15,5,2
0.9172560840498434,1.5624304938072087,1.5402986746879725,2.7831316058945017,100,15,5,4
0.9169137082982329,1.5848016956070232,1.5310348415042925,2.8288170025989534,100,15,5,6
1.1072481158638428,1.5784823938578707,1.9132656275808815,2.7751299427253713,100,15,10,2
1.0418933862328212,1.5751776582655928,1.788319679110171,2.7975782630490476,100,15,10,4
1.0369545546841035,1.6087483146970634,1.769717636933321,2.8476806508132184,100,15,10,6
0.639248056355949,1.5338429084436274,1.1084346443686466,2.7140197424674772,100,20,2,2
0.631296881293275,1.5560322312793786,1.098466794151149,2.7727765809527507,100,20,2,4
0.6449508127805497,1.580482058330073,1.1141782859536815,2.826711249115218,100,20,2,6
0.787696588165051,1.5397721054091744,1.410682359415292,2.7256693403055823,100,20,5,2
0.7412634096860528,1.5515556647389783,1.335282889989703,2.7756300115735404,100,20,5,4
0.7367277637730073,1.582037757008057,1.3280177983686945,2.824857698025128,100,20,5,6
0.9894888513368484,1.5618838750568906,1.764915076556389,2.756445847914975,100,20,10,2
0.9288056798426932,1.5693382497817976,1.6655327894365775,2.7955115329644333,100,20,10,4
0.9133873845574735,1.5870744374067816,1.6404706137238165,2.8374131160905933,100,20,10,6
2.2215312396660813,2.240112090367057,3.6638227426839487,3.664690015417478,200,5,2,2
2.0245454024782292,2.0500425353959875,3.3546419424656237,3.4102635228258,200,5,2,4
2.0179939816488623,2.0582570441711723,3.3428758348920447,3.4144483488702972,200,5,2,6
2.220053368228599,2.2393024290196815,3.662283555499882,3.6641063108450256,200,5,5,2
2.0245454024782292,2.0500425353959875,3.3546419424656237,3.4102635228258,200,5,5,4
2.0179939816488623,2.0582570441711723,3.3428758348920447,3.4144483488702972,200,5,5,6
2.21782820648994,2.236967797203926,3.6591736330924114,3.6624044611380207,200,5,10,2
2.0245591467445765,2.0496846969864277,3.354671332657669,3.410899326655899,200,5,10,4
2.0179939816488623,2.0582570441711723,3.3428758348920447,3.4144483488702972,200,5,10,6
1.4553178650649075,1.6772491854909757,2.470714778000082,2.8926476710672784,200,10,2,2
1.3768163532384896,1.642964214969969,2.299942664183224,2.8725336922587714,200,10,2,4
1.3747768619165261,1.66479134224576,2.274992671887597,2.9196780786394174,200,10,2,6
1.4611685781938424,1.6771143169079017,2.4896716551597735,2.8946896571587346,200,10,5,2
1.386441990078591,1.649697084445885,2.329894843383426,2.889023661777155,200,10,5,4
1.3858307210708394,1.6653965018338812,2.306894307906167,2.919529137362096,200,10,5,6
1.4857242371016801,1.6831472169456845,2.5424058268106573,2.9072886424412263,200,10,10,2
1.4153899426427468,1.6550971928661766,2.392925702506241,2.905048254047932,200,10,10,4
1.4099017318416236,1.667390356353307,2.3664803559294354,2.924724374307629,200,10,10,6
0.8939120658555847,1.5495187411622504,1.484738787114988,2.7220694332114643,200,15,2,2
0.8510444333434591,1.557252100107673,1.374412596491487,2.761273281574351,200,15,2,4
0.8590756838438766,1.5794929537984916,1.3737225017748973,2.807182999896337,200,15,2,6
0.9789384911199271,1.5591757799244932,1.6700203663994688,2.7455808333947487,200,15,5,2
0.9138131359813475,1.5566839645767714,1.5377755107423916,2.7654347637305143,200,15,5,4
0.9147361592250516,1.5769989479270343,1.5257937903102357,2.8107346818705774,200,15,5,6
1.1052231892655768,1.5739023724639143,1.912891836700953,2.769654052346091,200,15,10,2
